actor_id,movie_id
nm0000790,tt0092527
nm0000791,tt0045920
nm0000792,tt0117768
nm0000793,tt0110912
nm0000794,tt0095253
nm0000795,tt0046303
nm0000796,tt0095990
nm0000797,tt0077362
nm0000798,tt0432021
nm0000799,tt1049413
nm0000800,tt0765429
nm0000801,tt1846472
nm0000802,tt0034428
nm0000803,tt4893122
nm0000804,tt0068361
nm0000805,tt0059800
nm0000806,tt0107151
nm0000807,tt1374989
nm0000808,tt0125879
nm0000809,tt0091288
nm0000810,tt0027361
nm0000811,tt0077631
nm0000812,tt0110265
nm0000813,tt0033260
nm0000814,tt0100507
nm0000815,tt0111282
nm0000816,tt0118055
nm0000817,tt0020629
nm0000818,tt0083578
nm0000819,tt0064750
nm0000820,tt0064115
nm0000821,tt0337578
nm0000822,tt0057681
nm0000823,tt0344510
nm0000824,tt0091949
nm0000825,tt0052520
nm0000826,tt0085106
nm0000827,tt0759482
nm0000828,tt0060009
nm0000829,tt0078346
nm0000830,tt0115101
nm0000832,tt0057426
nm0000833,tt0116996
nm0000834,tt0099487
nm0000835,tt0259711
nm0000836,tt0169547
nm0000837,tt0086837
nm0000838,tt1830617
nm0000839,tt0076984
nm0000840,tt0043208
nm0000841,tt0106226
nm0000842,tt0054215
nm0000843,tt0056241
nm0000844,tt0108639
nm0000845,tt0059106
nm0000846,tt0093209
nm0000847,tt0005100
nm0000848,tt0083412
nm0000849,tt0477348
nm0000850,tt0093177
nm0000851,tt0058751
nm0000852,tt0178721
nm0000853,tt0077452
nm0000854,tt0111280
nm0000855,tt0841046
nm0000856,tt0038975
nm0000857,tt0055855
nm0000858,tt0023948
nm0000859,tt0030993
nm0000860,tt0083869
nm0000861,tt0026266
nm0000862,tt2042568
nm0000863,tt0093507
nm0000864,tt0090319
nm0000865,tt0049513
nm0000866,tt0063804
nm0000867,tt0367279
nm0000868,tt0904208
nm0000869,tt0280707
nm0000870,tt0100157
nm0000871,tt0119822
nm0000872,tt0258000
nm0000873,tt0085549
nm0000874,tt0117381
nm0000875,tt0004207
nm0000876,tt2347569
nm0000877,tt0089013
nm0000878,tt0057443
nm0000879,tt0035015
nm0000880,tt0073992
nm0000881,tt0120591
nm0000882,tt1650048
nm0000883,tt0452643
nm0000884,tt0088851
nm0000885,tt0822854
nm0000886,tt0082979
nm0000887,tt0098273
nm0000888,tt0128133
nm0000889,tt0085656
nm0000890,tt0071042
nm0000891,tt0025948
